"record","uuid","date","hsample","hsampletype","state","s3","s4","h3r1","h3r2","h3r3","h3r4","h3r5","h3r7","h3none","s5","s6","s7","h1r1","h1r2","h1r3","h1r4","h1none","s8","s9","s10","rh","q1r1","q1r2","q1r3","q1r4","q1r5","q1r6","q1r7","q1r8","q1r9","q1r20","q1r10","q1r11","q1r12","q1r13","q1r14","q1r15","q1r16","q1r17","q1r18","q1r19","q2","q3","q4","q5","q6","q7","q8","q9r1","q9r2","q9r3","q9r4","q9r5","q9r6","q9r7","q9r8","q9r9","q9r10","q9r11","q9r12","q9r13","q9r14","q9r15","q10","q18r1","q18r2","q18r3","q18r4","q18r5","q18r6","q18r7","q18r8","q19","q20r1","q20r2","q20r3","q21r1","q21r2","q21r3","q21r4","q21r5","q21r6","q21r7","q21r8","q21r9","q22","q23","q24","q25","q26r1","q26r2","q26r3","q26r4","q26r5","q26r6","q26r7","q28","q29","q30","d1","d2","d3","d4r1","d4r2","d4r3","d4r4","d4r5","d5","d6","d12r1","d12r2","d12r3","d7","d8r1","d8r2","d8r3","d8r4","d8r5","d8r6","d8r7","d9r1","d9r2","d9r3","d9r4","d10","d11","conditionsmarker_split_b","conditionsmarker_split_a","vlist","qtime","vos","vosr15oe","vbrowser","vbrowserr15oe","vmobiledevice","vmobileos","start_date","azcounty","hpid3","q12","q16","az1","az2","az3","az4","az5","az6","az7","az8","az9","az10","az11","az12","az13","az14","az15","az16","az17","az18","q49","q50","q51","d13","weight","race","pid3"
425,"tsdmb8rn6fb2txmv",10/20/2022 03:20:00,2,2,3,1,,0,0,0,0,1,0,0,1,2,1991,0,1,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,3,1,1,1,1,10,1,1,1,1,1,,,,,,,1,1,,,4,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,12,,1,0,1,0,0,0,1,1,1,2,3,1,0,1,0,1,1,0,0,1,1,1,1,4,4,0,1,2,7673.95,14,,10,,1,2,10/20/2022 01:11:00,8,2,3,3,3,4,1,1,1,2,1,1,,1,1,1,5,10,1,,1,1,1,,1,"85009",0.518354594707489,1,2
427,"p3dk46cb04hy4msw",10/20/2022 01:36:00,2,2,3,1,,0,0,0,0,1,0,0,1,2,1990,0,1,0,0,0,1,5,5,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,3,1,1,1,10,5,2,2,4,1,,,,,,,2,1,,,4,1,1,1,1,1,2,1,2,1,0,1,0,2,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,12,,1,1,0,0,0,0,2,2,3,1,2,1,1,0,0,0,0,0,0,1,1,1,3,5,6,1,0,2,1094.83,13,,10,,5,6,10/20/2022 01:16:00,3,3,5,4,3,2,1,2,1,2,1,,2,1,3,1,3,8,,2,1,2,1,1,,"85001",0.394936829805374,1,3
428,"jhyvv3qckvqvtgrz",10/20/2022 01:23:00,2,2,3,2,,0,0,0,1,0,0,0,1,2,1987,0,1,0,0,0,2,6,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,2,2,2,2,2,9,2,2,1,2,1,,,,,,,2,2,,,2,2,2,2,2,1,1,1,1,1,0,1,0,1,1,2,2,1,2,2,1,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,,,,1,0,0,0,0,,,,,,2,1,0,0,0,0,0,0,2,1,1,1,2,6,0,1,2,277.29,5,,10,,5,6,10/20/2022 01:17:00,2,2,2,3,2,2,2,2,2,2,2,2,,2,2,2,2,9,2,,2,2,2,,2,"85001",0.212512135505676,2,2
429,"f7qnkva3hqcwr8ju",10/20/2022 01:22:00,2,2,3,1,,0,0,0,0,1,0,0,1,1,1999,1,0,0,0,0,1,2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,2,1,3,6,2,1,4,2,3,,,,,,,2,4,,,4,4,3,4,1,1,2,2,2,1,0,1,0,3,3,1,3,3,2,3,3,3,2,3,1,1,4,4,4,2,2,2,2,3,2,2,21,1,3,0,0,1,0,0,1,2,1,2,3,1,1,0,0,0,0,0,0,1,1,1,2,4,3,1,0,2,254.44,12,,13,,1,1,10/20/2022 01:17:00,8,3,3,4,3,6,2,2,2,3,1,,2,2,1,1,2,7,,2,2,2,3,2,,"85029",0.342827081680298,1,3
430,"11zp6tgem3pvz9s9",10/20/2022 01:28:00,2,2,3,2,,0,0,0,1,0,0,0,1,2,1975,0,0,1,0,0,1,5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,2,1,7,1,2,1,2,1,,,,,,,2,1,,,1,1,2,2,1,2,1,2,1,2,,,,2,2,2,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,,,1,1,0,0,0,0,,,,,,2,1,0,0,0,0,0,0,1,2,2,1,1,6,0,1,2,467.45,13,,10,,5,6,10/20/2022 01:19:00,1,1,1,2,2,3,1,2,1,2,2,1,,2,1,1,2,6,1,,4,2,1,,1,"85001",1.91946601867676,2,1
431,"b53dtezz53m09nru",10/20/2022 01:32:00,2,2,3,1,,0,0,0,0,1,0,0,1,1,1994,1,0,0,0,0,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,2,2,2,5,2,2,2,2,2,,,,,,,2,2,,,2,4,1,1,1,3,3,2,2,2,,,,2,2,2,3,2,2,2,2,2,2,2,1,3,1,1,2,3,2,1,2,2,1,4,12,,1,1,0,0,0,0,4,2,3,1,2,2,0,0,1,0,0,0,0,1,2,3,3,3,1,1,0,2,540.2,14,,10,,3,2,10/20/2022 01:23:00,8,2,3,4,2,3,2,1,1,2,2,,2,2,2,2,4,5,,3,2,2,3,1,,"85033",0.592405259609222,1,2
433,"xy5y0p3uc8ef7qsa",10/20/2022 01:42:00,2,2,3,1,,0,0,0,0,1,0,0,1,2,1983,0,1,0,0,0,1,3,3,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,1,3,2,3,5,2,4,2,3,2,,,,,,,2,2,,,3,4,3,3,3,3,2,2,4,2,,,,2,2,2,2,1,2,4,4,3,3,2,1,2,1,1,1,1,4,4,2,2,1,1,12,,1,0,0,0,1,0,4,3,2,3,1,4,1,0,0,0,0,0,0,1,2,1,3,2,6,1,0,2,690.57,4,,10,,5,6,10/20/2022 01:31:00,8,2,1,3,6,6,2,2,2,2,3,,4,2,3,3,2,10,,1,1,1,2,2,,"85035",0.422088712453842,1,2
434,"7qx0p2euwa73rgnx",10/20/2022 01:46:00,2,2,3,1,,0,0,0,0,1,0,0,1,2,1989,0,1,0,0,0,1,4,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,4,2,2,10,2,1,4,2,6,,,,,,,1,6,,,4,4,3,1,1,4,4,4,4,1,0,1,0,1,4,1,2,1,2,1,2,1,1,2,2,1,2,3,2,4,1,2,3,2,2,2,21,2,1,0,0,0,0,1,5,4,1,2,3,1,0,1,0,0,0,0,0,1,3,1,1,4,3,1,0,2,782.42,14,,10,,1,2,10/20/2022 01:33:00,8,2,1,1,5,5,1,1,1,1,4,,2,2,2,2,3,9,,5,1,3,1,2,,"85022",0.31439208984375,1,2
437,"3vbsqnhh0444mft5",10/20/2022 01:48:00,2,2,3,1,,0,0,0,0,1,0,0,1,2,1997,1,0,0,0,0,1,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,4,8,4,4,3,4,1,,,,,,,1,3,,,1,3,3,2,1,1,2,1,2,1,1,0,0,1,2,2,1,1,3,1,4,4,1,3,1,3,3,1,1,1,2,1,1,1,1,5,12,,1,1,0,0,0,0,1,2,1,2,3,4,1,0,0,0,0,0,0,1,4,4,4,1,2,0,1,2,439.74,14,,10,,1,2,10/20/2022 01:40:00,11,1,1,1,1,5,1,1,2,2,2,1,,1,3,2,1,7,1,,1,1,1,,2,"85756",0.497996956110001,1,1
438,"n0mrgp7hnr9xknnj",10/20/2022 01:56:00,2,2,3,1,,0,0,0,0,1,0,0,1,1,1989,0,1,0,0,0,1,6,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,3,2,2,2,8,2,3,3,3,2,,,,,,,2,3,,,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,3,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,3,2,2,1,1,1,,1,1,0,0,0,0,1,2,2,3,1,2,0,1,0,0,0,0,0,1,1,1,1,2,6,0,1,2,557.1,13,,10,,5,6,10/20/2022 01:45:00,8,1,2,2,1,4,2,2,2,2,2,2,,1,3,3,2,7,2,,2,2,2,,1,"85046",0.299421012401581,1,1
440,"vb1836rz3rr5zbch",10/20/2022 01:57:00,2,2,3,2,,0,0,0,1,0,0,0,1,1,1975,0,0,1,0,0,1,6,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,4,10,1,4,2,4,1,,,,,,,1,2,,,1,2,1,1,2,1,1,1,1,2,,,,1,1,2,1,2,1,1,2,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,,,1,1,0,0,0,0,,,,,,1,1,0,0,0,0,0,0,1,1,1,1,1,6,1,0,2,619,3,,10,,5,6,10/20/2022 01:45:00,2,1,1,1,1,4,1,1,1,1,1,,2,3,1,1,2,10,,1,4,1,1,1,,"85001",1.72751927375793,2,1
441,"wtam0ccfr4bwfgm0",10/20/2022 01:58:00,2,2,3,1,,0,0,0,0,1,0,0,1,1,1984,0,1,0,0,0,1,6,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,3,2,2,2,6,3,3,5,2,5,,,,,,,2,3,,,2,1,1,1,1,1,1,1,1,1,1,0,0,3,2,1,3,2,3,2,2,2,2,2,1,2,2,3,2,3,2,2,2,2,1,3,1,,1,1,0,0,0,0,1,2,3,2,1,2,0,1,0,0,0,0,0,1,2,2,1,2,6,1,0,2,586.23,13,,10,,5,6,10/20/2022 01:46:00,8,1,2,1,2,3,2,2,2,2,2,,2,2,1,2,4,7,,2,2,2,2,1,,"85046",0.299421012401581,1,1
442,"jsf4ktx9fg6p7hd6",10/20/2022 02:06:00,2,2,3,1,,0,0,0,0,1,0,0,1,1,2000,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,3,1,2,1,10,1,3,2,3,1,,,,,,,1,2,,,2,4,3,1,1,3,1,1,2,2,,,,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,1,2,3,1,3,6,,1,1,0,0,0,0,5,3,3,2,1,1,0,0,0,0,0,1,0,1,1,2,2,1,6,0,1,2,889.22,4,,10,,5,6,10/20/2022 01:51:00,1,1,2,5,5,2,1,1,1,2,3,1,,1,1,1,2,7,2,,2,1,2,,1,"85046",0.174420014023781,1,1
443,"y3t3v4m581zcsqpf",10/20/2022 02:08:00,2,2,3,1,,0,0,0,0,1,0,0,1,1,1995,1,0,0,0,0,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,10,1,4,1,5,1,,,,,,,1,3,,,1,1,1,1,1,1,1,1,2,1,1,0,0,1,1,1,1,2,2,1,2,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,12,,1,1,0,0,0,0,2,2,1,3,2,1,0,1,0,0,0,0,0,1,1,1,1,1,2,0,1,2,803.5,14,,10,,1,2,10/20/2022 01:55:00,8,1,1,1,1,1,1,2,2,2,1,1,,1,3,1,2,10,1,,1,3,1,,1,"85283",0.431166261434555,1,1
444,"99y7sm966a66qv3s",10/20/2022 02:14:00,113,2,3,2,,0,0,0,1,0,0,0,1,1,2002,1,0,0,0,0,1,5,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,2,2,7,2,3,5,1,4,,,,,,,2,3,,,3,2,2,2,2,2,2,2,2,1,0,1,0,2,2,2,2,2,4,1,2,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,,,1,0,1,0,0,0,,,,,,2,0,0,1,0,0,0,0,2,2,2,2,2,3,0,1,6,315.35,12,,13,,1,1,10/20/2022 02:08:00,8,1,2,6,3,2,2,2,2,2,2,2,,2,2,3,2,8,2,,2,2,2,,1,"85043",1.67720329761505,2,1
445,"e4vq5c0egspcrg7s",10/20/2022 02:23:00,2,2,3,1,,0,0,0,0,1,0,0,1,2,1975,0,0,1,0,0,1,5,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,2,4,9,2,4,2,4,2,,,,,,,1,3,,,1,2,2,1,2,2,1,2,2,1,1,0,0,1,1,1,1,1,1,2,4,4,2,2,1,3,1,1,1,1,1,1,1,3,1,1,12,,3,0,0,0,1,0,2,2,1,3,2,1,0,0,1,0,0,0,0,1,1,1,1,2,4,1,0,2,827.36,14,,10,,1,2,10/20/2022 02:09:00,8,1,1,1,1,4,2,2,1,1,1,,3,1,1,2,1,10,,5,1,1,1,2,,"85015",0.497996956110001,1,1
448,"19t65u3847ffztyf",10/20/2022 02:25:00,113,2,3,1,,0,0,0,0,1,0,0,1,1,1995,1,0,0,0,0,1,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,3,1,3,3,3,5,4,1,4,2,3,,,,,,,5,4,,,6,4,2,2,2,1,4,4,4,1,1,1,0,1,1,1,1,1,1,2,1,3,1,2,1,3,3,4,4,4,4,4,3,3,2,2,17,,3,1,0,0,0,0,6,4,2,3,1,3,0,1,0,0,0,0,0,1,2,3,4,3,2,1,0,6,550.19,12,,13,,1,1,10/20/2022 02:16:00,11,2,5,6,5,6,1,3,2,2,2,,2,1,2,2,3,6,,3,2,2,3,2,,"85710",0.163200005888939,1,2
451,"krgsrxwz59j82dq2",10/20/2022 02:38:00,113,2,3,1,,0,0,0,0,1,0,0,1,1,1999,1,0,0,0,0,1,2,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4,2,3,1,2,4,7,4,1,4,5,4,,,,,,,2,4,,,4,4,4,3,3,1,2,2,1,1,0,1,0,3,3,3,3,1,3,2,2,3,1,2,1,3,3,3,2,2,2,2,3,3,2,2,21,1,3,0,0,1,0,0,1,2,1,2,3,1,0,1,1,0,0,0,0,1,1,2,2,5,3,0,1,6,273.38,12,,13,,1,1,10/20/2022 02:33:00,8,3,1,1,1,6,2,2,2,2,2,2,,2,1,1,4,1,3,,2,3,3,,2,"85029",0.299421012401581,1,3
452,"s1k1wayje60kaswc",10/20/2022 03:12:00,2,2,3,1,,0,0,0,0,1,0,0,1,1,1980,0,0,1,0,0,1,4,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,10,1,4,1,4,1,,,,,,,2,3,,,1,2,1,4,1,1,2,3,3,1,1,0,0,2,2,2,2,1,1,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,21,1,1,1,0,0,0,0,3,3,2,3,1,1,1,0,0,0,0,0,0,1,1,1,1,1,3,1,0,2,1710.18,14,,10,,1,2,10/20/2022 02:43:00,8,1,1,1,1,1,1,1,1,1,5,,4,1,1,2,1,10,,1,1,1,1,2,,"85031",0.299421012401581,1,1
453,"ccj9uya05bggfxcr",10/20/2022 03:29:00,2,2,3,1,,0,0,0,0,1,0,0,1,2,1971,0,0,1,0,0,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,1,1,4,10,2,2,1,4,1,,,,,,,1,3,,,1,4,4,4,4,4,1,1,1,1,1,1,0,3,4,1,3,2,3,3,3,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,12,,1,1,0,0,0,0,1,4,2,3,1,1,1,0,0,0,0,0,0,1,1,1,1,2,3,0,1,2,2403.91,12,,13,,1,1,10/20/2022 02:49:00,8,1,1,4,1,4,3,2,2,1,1,1,,1,3,1,1,10,1,,1,1,1,,2,"85035",0.464297562837601,1,1
454,"6njabg9748qx0w86",10/20/2022 03:42:00,2,2,3,1,,0,0,0,0,1,0,0,1,2,1981,0,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,2,2,4,6,1,4,2,4,1,,,,,,,1,2,,,2,4,2,3,3,4,3,3,4,1,1,0,0,2,4,1,4,4,4,1,4,3,1,3,1,3,1,1,1,4,4,1,1,2,3,3,12,,3,1,0,0,0,0,3,4,2,3,1,1,0,1,0,0,0,0,0,3,3,3,3,1,3,0,1,2,2330.44,14,,10,,1,2,10/20/2022 02:52:00,8,1,2,3,2,3,1,1,2,1,5,2,,1,2,2,1,10,1,,1,1,1,,1,"85017",0.464297562837601,1,1
455,"ags54fvdrq41ss0a",10/20/2022 03:02:00,2,2,3,1,,0,0,0,0,1,0,0,1,1,1975,0,0,1,0,0,1,6,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,2,1,1,1,8,1,2,1,1,1,,,,,,,2,2,,,2,1,2,1,2,1,1,2,1,2,,,,1,2,2,2,2,2,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,2,12,,1,1,0,0,0,0,6,4,2,3,1,1,0,1,0,0,0,0,0,1,1,1,1,1,6,1,0,2,437.26,13,,10,,5,6,10/20/2022 02:54:00,6,1,1,4,4,4,2,2,2,2,2,,2,3,1,1,2,8,,1,1,1,1,1,,"85001",0.401989251375198,1,1
456,"wg23qda8gvg7fkve",10/20/2022 03:17:00,2,2,3,1,,0,0,0,0,1,0,0,1,2,1969,0,0,1,0,0,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,3,3,1,1,5,4,1,2,3,3,,,,,,,5,2,,,3,4,4,1,1,2,4,4,4,2,,,,2,2,2,1,4,2,2,2,2,2,2,2,3,2,3,2,2,1,3,2,3,2,2,12,,,1,0,0,0,0,1,1,2,1,3,3,1,0,0,0,0,0,0,2,4,3,3,4,3,1,0,2,903.73,12,,11,,1,1,10/20/2022 03:02:00,15,3,5,6,6,6,2,2,2,2,2,,3,2,3,2,2,5,,2,3,2,1,2,,"85364",0.534643173217773,1,3
463,"tqtggd6a9xt5na93",10/20/2022 03:53:00,113,2,3,1,,0,0,0,0,1,0,0,1,1,1966,0,0,1,0,0,1,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,2,9,2,2,2,2,2,,,,,,,2,2,,,4,4,1,1,1,1,1,1,1,2,,,,3,2,2,3,3,3,3,2,3,2,2,1,2,1,2,1,1,2,2,2,2,4,4,12,,3,0,0,0,1,0,1,2,1,2,3,2,0,0,0,0,0,0,1,4,4,4,4,3,2,0,1,6,926.42,12,,13,,1,1,10/20/2022 03:37:00,8,2,4,4,6,6,2,2,2,2,4,4,,1,1,3,3,9,1,,1,4,2,,2,"85051",0.592405259609222,1,2
467,"0s9dgx6uqjubruvp",10/20/2022 04:09:00,2,2,3,1,,0,0,0,0,1,0,0,1,1,1975,0,0,1,0,0,1,6,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,1,9,1,1,2,2,1,,,,,,,1,1,,,1,2,1,2,2,2,2,1,2,2,,,,2,2,2,2,1,2,2,1,2,2,1,2,2,3,1,1,1,1,1,3,1,1,1,12,,1,1,0,0,0,0,6,4,2,3,1,1,1,0,0,0,0,0,0,1,1,1,1,1,6,1,0,2,396.89,13,,10,,5,6,10/20/2022 04:01:00,6,1,1,1,4,4,2,2,2,2,2,,2,3,1,1,2,9,,1,3,2,1,1,,"85001",0.431166261434555,1,1
468,"1kxpx22uyus423qh",10/20/2022 04:15:00,3,2,3,1,,0,0,0,0,1,0,0,1,1,1991,0,1,0,0,0,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,5,3,3,3,3,3,,,,,,,3,3,,,3,4,1,4,2,4,3,3,2,2,,,,2,2,2,2,2,2,3,2,2,2,2,1,2,3,4,1,1,3,1,1,2,1,3,12,,3,0,0,1,0,0,3,2,1,2,3,1,0,0,0,1,0,0,0,1,1,4,3,2,3,0,1,3,552.88,14,,10,,1,2,10/20/2022 04:05:00,8,1,2,2,3,2,2,2,2,2,3,3,,2,1,3,3,5,1,,1,1,2,,1,"85233",0.431166261434555,1,1
469,"7xep0sup9jjr1vme",10/20/2022 04:35:00,2,2,3,1,,0,0,0,0,1,0,0,1,2,1971,0,0,1,0,0,1,2,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,3,9,2,2,1,4,1,,,,,,,1,2,,,1,4,4,4,2,4,4,1,4,1,1,1,0,1,1,1,1,1,1,2,4,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,12,,1,1,0,0,0,0,1,3,1,3,2,1,1,0,0,0,0,0,0,1,1,1,1,2,3,1,0,2,1364.97,12,,13,,1,1,10/20/2022 04:12:00,8,1,1,4,1,4,1,1,2,1,1,,1,3,1,1,2,10,,1,1,1,1,1,,"85035",0.464297562837601,1,1
470,"nmvxdq6bw2ukwu5t",10/20/2022 04:30:00,3,2,3,1,,0,0,0,0,1,0,0,1,2,1976,0,0,1,0,0,1,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,1,1,2,1,4,10,4,1,3,4,1,,,,,,,6,6,,,1,4,4,4,1,1,1,1,4,2,,,,1,1,1,4,1,1,1,4,4,3,3,2,3,1,1,1,1,1,1,2,2,2,5,21,1,1,1,0,0,0,0,5,4,3,2,1,1,0,1,1,1,0,1,1,1,4,1,4,3,2,0,1,3,753.54,14,,10,,1,2,10/20/2022 04:16:00,8,2,1,1,1,4,2,2,2,2,2,1,,1,1,5,1,10,1,,3,4,2,,2,"85304",0.31439208984375,1,2
471,"hazhv2jf7kry8t6v",10/20/2022 04:56:00,3,2,3,1,,0,0,0,0,1,0,0,1,1,1997,1,0,0,0,0,1,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,10,1,4,1,4,1,,,,,,,1,5,,,1,4,1,1,1,1,4,4,4,2,,,,1,1,1,1,1,1,4,4,4,3,2,1,2,1,1,1,1,1,1,1,1,1,3,12,,1,1,0,0,0,0,5,4,2,3,1,4,0,0,0,1,0,0,0,1,4,4,4,1,6,1,0,3,1554.51,14,,10,,1,2,10/20/2022 04:29:00,8,1,1,1,1,4,2,2,2,2,2,,2,1,3,2,1,10,,1,1,4,1,2,,"85043",0.431166261434555,1,1
472,"rtnk9ph3s595x0f1",10/20/2022 04:41:00,2,2,3,1,,0,0,0,0,1,0,0,1,2,1971,0,0,1,0,0,1,4,6,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,3,3,4,1,3,3,4,5,5,6,5,,,,,,,2,6,,,6,1,1,1,2,1,4,4,4,2,,,,3,2,3,3,4,2,3,3,3,3,2,1,2,4,4,4,4,4,4,4,4,5,5,12,,1,1,0,0,0,0,1,2,1,3,2,2,1,0,0,0,0,0,0,4,4,4,4,6,3,1,0,2,320.39,12,,13,,1,1,10/20/2022 04:35:00,8,2,1,1,6,6,4,2,2,2,3,,3,2,2,3,3,3,,5,3,3,3,1,,"85006",0.452724546194077,1,2
473,"c81sxf8cavneuht8",10/20/2022 04:45:00,4,2,3,6,1,0,0,0,0,0,1,0,1,1,2000,1,0,0,0,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,4,4,5,5,5,5,5,5,,,,,,,5,5,,,6,3,3,2,1,1,4,4,4,2,,,,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,3,3,3,3,3,2,5,5,,,1,1,0,0,0,0,,,,,,4,1,0,0,0,0,0,0,4,4,4,4,6,2,0,1,4,249.43,12,,13,,1,1,10/20/2022 04:40:00,12,2,6,6,6,6,4,4,4,4,3,3,,3,3,3,3,5,5,,4,4,4,,2,"85132",0.800000011920929,2,2
474,"v235kdy2sestqpn3",10/20/2022 05:21:00,2,2,3,1,,0,0,0,0,1,0,0,1,1,1997,1,0,0,0,0,1,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,10,1,4,1,4,1,,,,,,,1,5,,,1,4,1,1,1,1,3,3,4,2,,,,1,1,1,1,1,1,4,4,4,3,2,1,2,1,1,1,1,1,1,1,1,1,3,12,,1,1,0,0,0,0,5,3,2,3,1,4,0,0,0,1,0,0,0,1,4,4,4,1,6,1,0,2,2339.08,4,,10,,5,6,10/20/2022 04:42:00,8,1,1,1,1,4,1,2,2,2,1,,1,1,3,1,1,10,,1,1,4,1,2,,"85043",0.431166261434555,1,1
476,"0e00um5k4sqh1z4r",10/20/2022 05:04:00,2,2,3,1,,0,0,0,0,1,0,0,1,2,1995,1,0,0,0,0,1,5,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,6,2,4,1,4,2,,,,,,,2,2,,,1,2,1,2,2,2,2,1,1,1,1,0,0,2,2,1,2,2,1,2,2,1,1,2,1,1,3,1,3,3,3,3,3,2,1,1,12,,1,0,1,0,0,0,2,2,3,1,2,2,0,0,1,0,0,0,0,4,3,3,2,2,6,1,0,2,684.45,14,,10,,1,2,10/20/2022 04:53:00,8,1,1,1,1,1,1,1,2,1,3,,1,1,1,1,2,7,,1,1,2,2,1,,"85301",0.497996956110001,1,1
477,"tjhymcqyrrqfbwdt",10/20/2022 05:19:00,2,2,3,4,2,0,0,1,0,0,0,0,1,2,1975,0,0,1,0,0,1,5,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,1,3,2,3,2,5,5,5,5,5,,,,,,,5,5,,,6,4,4,2,2,2,4,4,4,1,1,1,1,2,2,2,2,2,2,2,3,2,2,2,1,1,3,1,3,1,2,1,3,2,1,3,,,3,1,0,0,0,0,,,,,,3,0,1,1,1,0,0,0,1,4,4,4,2,2,0,1,2,1133.85,14,,10,,1,2,10/20/2022 04:59:00,11,2,6,6,6,6,2,2,2,2,3,2,,2,3,3,2,5,2,,2,2,2,,2,"85718",0.800000011920929,2,2
478,"5f4x6vbk5fd51rnp",10/20/2022 05:18:00,4,2,3,1,,0,0,0,0,1,0,0,1,1,2002,1,0,0,0,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,1,2,2,1,5,4,1,3,1,3,,,,,,,4,3,,,3,4,1,1,1,1,4,4,4,2,,,,2,3,2,2,2,2,2,3,3,2,2,1,1,2,2,2,2,2,2,2,3,2,2,12,,1,1,0,0,0,0,2,3,1,3,2,1,0,1,0,1,0,0,0,2,3,1,3,4,2,0,1,4,861.75,14,,10,,1,2,10/20/2022 05:03:00,8,2,3,3,3,2,2,2,2,2,3,2,,2,3,2,2,1,3,,2,3,1,,1,"85335",0.592405259609222,1,2
